Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
1,0.8354,0.6781,0.5453,0.5624,0.5498,0.5969,0.5445,0.5689,0.5491,0.5413,0.5537,0.5162,0.5306,0.5775,0.5306,0.5779
2,0.679,0.6716,0.5679,0.5823,0.5961,0.6218,0.565,0.5593,0.5776,0.6506,0.5907,0.7775,0.5789,0.6097,0.579,0.61
3,0.6646,0.6617,0.5907,0.5944,0.6289,0.6307,0.5813,0.5866,0.6131,0.6123,0.6486,0.6403,0.605,0.6005,0.6051,0.6008
4,0.6474,0.6574,0.6147,0.5981,0.6607,0.676,0.5994,0.6598,0.642,0.5021,0.6911,0.4052,0.6326,0.6427,0.6327,0.643
5,0.627,0.6296,0.6426,0.6347,0.6945,0.7042,0.6232,0.5971,0.6686,0.6941,0.721,0.8289,0.6622,0.6761,0.6622,0.6764
6,0.6036,0.605,0.6644,0.6625,0.7256,0.7325,0.6416,0.6252,0.6893,0.7065,0.7447,0.8119,0.6941,0.7106,0.6941,0.7109
7,0.5868,0.5979,0.6807,0.6788,0.7472,0.7387,0.6575,0.645,0.7026,0.7124,0.7543,0.7954,0.7173,0.7034,0.7174,0.7039
8,0.5695,0.5695,0.6959,0.6972,0.7669,0.7739,0.6708,0.652,0.7167,0.7366,0.7693,0.8463,0.7364,0.7531,0.7364,0.7533
9,0.5474,0.5434,0.7171,0.7248,0.7909,0.7968,0.6924,0.7096,0.7342,0.7346,0.7814,0.7615,0.7661,0.7697,0.7662,0.7699
10,0.53,0.534,0.7317,0.7246,0.8056,0.8056,0.7062,0.7034,0.7474,0.7384,0.7937,0.777,0.7786,0.7854,0.7787,0.7856
11,0.5094,0.5122,0.7469,0.7423,0.824,0.8267,0.7208,0.6981,0.761,0.7683,0.8058,0.8541,0.7986,0.8094,0.7986,0.8095
12,0.4891,0.5039,0.7627,0.7447,0.8397,0.8314,0.7358,0.704,0.7754,0.768,0.8195,0.8449,0.8171,0.8136,0.8172,0.8138
13,0.4744,0.4956,0.7703,0.7525,0.8507,0.8375,0.7447,0.723,0.7817,0.7679,0.8225,0.8187,0.8294,0.8148,0.8294,0.815
14,0.455,0.4821,0.7852,0.7619,0.8634,0.8446,0.7574,0.7357,0.7962,0.7746,0.8392,0.8177,0.8415,0.8221,0.8415,0.8224
15,0.4339,0.478,0.7966,0.7697,0.8778,0.8532,0.7725,0.7554,0.8052,0.776,0.8408,0.7979,0.8621,0.8371,0.8621,0.8372
16,0.4239,0.47,0.8042,0.775,0.8838,0.8597,0.7792,0.7557,0.8126,0.7833,0.8489,0.8129,0.8677,0.8437,0.8677,0.8437
17,0.4044,0.4667,0.8134,0.7828,0.8946,0.8649,0.7906,0.7514,0.8205,0.7956,0.8527,0.8454,0.878,0.8482,0.878,0.8483
18,0.3916,0.4564,0.8242,0.7821,0.9017,0.8661,0.7991,0.7526,0.8313,0.7941,0.8662,0.8405,0.8875,0.8524,0.8875,0.8526
19,0.3783,0.4551,0.8311,0.785,0.9086,0.8675,0.8078,0.7392,0.8372,0.8038,0.8687,0.8808,0.895,0.8501,0.895,0.8502
20,0.3647,0.4426,0.8368,0.792,0.9153,0.8775,0.8144,0.7545,0.8425,0.8063,0.8725,0.8657,0.9031,0.8593,0.9031,0.8594
