Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
1,0.8159,0.6687,0.5414,0.5888,0.5467,0.6381,0.5411,0.5658,0.5429,0.6503,0.5447,0.7644,0.5325,0.6188,0.5326,0.6192
2,0.6675,0.6495,0.5836,0.608,0.6221,0.6682,0.5794,0.5823,0.5943,0.6611,0.6101,0.7644,0.6012,0.6465,0.6012,0.6469
3,0.649,0.6496,0.6146,0.6097,0.659,0.6583,0.606,0.58,0.6294,0.6712,0.6548,0.7964,0.6287,0.6197,0.6288,0.6201
4,0.626,0.6363,0.6378,0.6504,0.6952,0.7176,0.6244,0.6017,0.6561,0.7181,0.6912,0.8905,0.6647,0.6941,0.6647,0.6943
5,0.6045,0.6083,0.6637,0.6642,0.7235,0.7508,0.6444,0.7181,0.6849,0.6171,0.7308,0.541,0.6899,0.7234,0.6899,0.7236
6,0.5872,0.5799,0.6801,0.6856,0.7459,0.759,0.6568,0.6612,0.7022,0.7078,0.7543,0.7615,0.71,0.7289,0.71,0.7292
7,0.5665,0.5655,0.7003,0.6965,0.7674,0.785,0.6754,0.6416,0.7201,0.7458,0.771,0.8905,0.7361,0.7581,0.7362,0.7582
8,0.5513,0.558,0.7116,0.7154,0.7834,0.7801,0.6849,0.6851,0.731,0.737,0.7838,0.7974,0.7517,0.7411,0.7518,0.7413
9,0.5356,0.5546,0.7247,0.7195,0.7979,0.8013,0.6978,0.7539,0.7422,0.6992,0.7927,0.652,0.7678,0.7796,0.7678,0.7798
10,0.5223,0.5282,0.7369,0.7348,0.8114,0.8108,0.7107,0.7172,0.7523,0.7452,0.7992,0.7756,0.7813,0.7763,0.7813,0.7766
11,0.5047,0.5163,0.7464,0.7384,0.825,0.8278,0.7181,0.6882,0.7618,0.7693,0.8112,0.872,0.7979,0.8006,0.7979,0.801
12,0.484,0.5041,0.7646,0.7505,0.8431,0.8321,0.7371,0.7274,0.7775,0.7627,0.8225,0.8017,0.8175,0.8091,0.8175,0.8094
13,0.4767,0.4961,0.7685,0.76,0.8479,0.8369,0.7402,0.7377,0.7814,0.7708,0.8276,0.8071,0.8223,0.8094,0.8223,0.8095
14,0.4569,0.4928,0.7825,0.7675,0.8616,0.8502,0.7542,0.7805,0.7939,0.7621,0.838,0.7445,0.8372,0.8266,0.8373,0.8268
15,0.4376,0.4593,0.7942,0.7852,0.8739,0.8624,0.7695,0.7679,0.8032,0.792,0.8399,0.8177,0.8521,0.833,0.8521,0.8331
16,0.432,0.4597,0.7978,0.785,0.8778,0.8645,0.7714,0.7496,0.8072,0.7993,0.8465,0.856,0.8579,0.8368,0.8579,0.8369
17,0.4167,0.4471,0.8091,0.7874,0.8872,0.8755,0.7836,0.7413,0.8173,0.806,0.854,0.8832,0.8686,0.855,0.8686,0.8551
18,0.3961,0.4663,0.8197,0.7964,0.8988,0.8689,0.7928,0.7707,0.8277,0.8056,0.8658,0.8439,0.8808,0.8466,0.8808,0.8467
19,0.3849,0.4404,0.8257,0.8017,0.9042,0.878,0.8004,0.7758,0.8327,0.8106,0.8678,0.8488,0.8892,0.8532,0.8892,0.8533
20,0.368,0.4306,0.8353,0.8116,0.9131,0.8833,0.8121,0.7889,0.8412,0.8188,0.8724,0.8512,0.8985,0.8549,0.8985,0.8551
21,0.3597,0.4283,0.8411,0.8116,0.9174,0.8876,0.8176,0.7767,0.8468,0.8229,0.8782,0.8749,0.9045,0.8676,0.9045,0.8677
22,0.3475,0.4278,0.8487,0.8162,0.9231,0.8878,0.8258,0.7975,0.8539,0.8219,0.8839,0.8478,0.9107,0.8672,0.9107,0.8673
23,0.3316,0.4137,0.857,0.8201,0.9304,0.8962,0.8361,0.7937,0.8613,0.8279,0.8879,0.8652,0.9205,0.8813,0.9205,0.8814
24,0.3277,0.4471,0.8574,0.8046,0.9321,0.8832,0.8368,0.7882,0.8617,0.8101,0.8881,0.8333,0.9219,0.8661,0.9219,0.8662
25,0.3083,0.409,0.8685,0.8245,0.9397,0.9003,0.8468,0.8009,0.8724,0.8312,0.8997,0.8638,0.9312,0.8823,0.9312,0.8823
26,0.2945,0.3997,0.8755,0.831,0.9454,0.9102,0.8548,0.7851,0.879,0.8437,0.9046,0.9118,0.9374,0.895,0.9374,0.8951
27,0.2846,0.4344,0.8786,0.8225,0.949,0.8998,0.859,0.8245,0.8818,0.8221,0.9059,0.8197,0.942,0.885,0.942,0.885
28,0.2857,0.439,0.8785,0.8187,0.9489,0.8995,0.8597,0.7683,0.8816,0.8343,0.9046,0.9127,0.9424,0.8839,0.9424,0.884
29,0.2719,0.4205,0.8832,0.8257,0.9538,0.9022,0.865,0.8259,0.8861,0.8257,0.9082,0.8255,0.9488,0.8854,0.9488,0.8857
30,0.2614,0.4118,0.8919,0.831,0.9573,0.9074,0.8745,0.7904,0.8944,0.8421,0.9151,0.9011,0.9526,0.8922,0.9526,0.8923
31,0.254,0.4164,0.8936,0.8315,0.9597,0.9105,0.8758,0.7916,0.8961,0.8424,0.9174,0.9001,0.9556,0.8966,0.9556,0.8967
32,0.2388,0.3999,0.9019,0.8376,0.9645,0.9122,0.8856,0.8064,0.9039,0.8455,0.9231,0.8885,0.9608,0.8982,0.9608,0.8983
33,0.2279,0.4043,0.9047,0.8429,0.9676,0.9116,0.8887,0.8129,0.9066,0.8501,0.9253,0.8909,0.9643,0.8963,0.9643,0.8964
34,0.2254,0.4102,0.9063,0.839,0.9687,0.913,0.8909,0.8152,0.9082,0.8449,0.9261,0.8769,0.9661,0.9022,0.9661,0.9023
35,0.2236,0.4379,0.908,0.8327,0.9689,0.9082,0.8917,0.8177,0.9098,0.8366,0.9287,0.8565,0.9658,0.8918,0.9658,0.8919
36,0.2159,0.4428,0.9116,0.8373,0.971,0.9105,0.8975,0.8096,0.9132,0.8444,0.9294,0.8822,0.968,0.8916,0.968,0.8917
37,0.2037,0.4335,0.9167,0.8405,0.9743,0.9112,0.9032,0.8118,0.9181,0.8475,0.9335,0.8866,0.9721,0.8966,0.9721,0.8966
38,0.2023,0.4074,0.916,0.8441,0.9748,0.9163,0.9042,0.8312,0.9172,0.8472,0.9307,0.8638,0.9732,0.9062,0.9732,0.9063
39,0.197,0.4168,0.9204,0.8444,0.976,0.9204,0.9075,0.8388,0.9216,0.8457,0.9362,0.8526,0.9745,0.9098,0.9745,0.9099
40,0.1877,0.4155,0.9239,0.8482,0.9782,0.9182,0.9117,0.8322,0.9251,0.8519,0.9388,0.8725,0.9766,0.9065,0.9766,0.9066
41,0.1311,0.4238,0.9475,0.8606,0.9894,0.9271,0.9372,0.8448,0.9481,0.8638,0.9593,0.8837,0.9887,0.9155,0.9887,0.9155
42,0.1032,0.4558,0.9601,0.8618,0.9936,0.9267,0.9521,0.8382,0.9604,0.8665,0.9689,0.8968,0.9933,0.9132,0.9933,0.9132
43,0.0945,0.4596,0.9633,0.8606,0.9945,0.9289,0.9561,0.8454,0.9636,0.8636,0.9712,0.8827,0.9942,0.9176,0.9942,0.9177
44,0.089,0.4818,0.9669,0.8572,0.9951,0.9264,0.9599,0.8278,0.9671,0.8634,0.9745,0.9021,0.9948,0.9146,0.9948,0.9148
45,0.0817,0.488,0.9685,0.8601,0.9959,0.9301,0.963,0.8415,0.9687,0.8639,0.9745,0.8875,0.9957,0.92,0.9957,0.92
46,0.0794,0.4954,0.9693,0.8606,0.9961,0.9294,0.9637,0.846,0.9695,0.8635,0.9755,0.8817,0.996,0.9165,0.996,0.9164
47,0.0782,0.4945,0.9706,0.8594,0.9963,0.9278,0.9657,0.8384,0.9707,0.8637,0.9759,0.8905,0.9962,0.9152,0.9962,0.9151
48,0.0778,0.4786,0.9702,0.8638,0.9962,0.9304,0.9649,0.8463,0.9704,0.8671,0.976,0.889,0.9961,0.919,0.9961,0.919
