Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
1,0.8375,0.679,0.5372,0.5617,0.5413,0.621,0.537,0.6232,0.5388,0.4164,0.5407,0.3127,0.5259,0.596,0.526,0.5965
2,0.6755,0.6627,0.574,0.5927,0.6073,0.6429,0.5715,0.5719,0.5812,0.6445,0.5913,0.7382,0.5891,0.6234,0.5892,0.6237
3,0.6611,0.6542,0.6005,0.5983,0.6381,0.6526,0.5909,0.5764,0.6205,0.649,0.6532,0.7426,0.6091,0.6404,0.6092,0.6406
4,0.6394,0.6439,0.6281,0.6264,0.6773,0.6987,0.6146,0.5833,0.6487,0.7034,0.6868,0.8856,0.6479,0.6696,0.6479,0.67
5,0.6207,0.6286,0.6517,0.6352,0.706,0.7237,0.637,0.5896,0.6695,0.7093,0.7055,0.89,0.6783,0.6922,0.6784,0.6926
6,0.6045,0.6005,0.6658,0.6676,0.7268,0.7426,0.6448,0.6223,0.6883,0.7197,0.7382,0.8531,0.6966,0.7161,0.6967,0.7163
7,0.5796,0.6031,0.6911,0.6676,0.7569,0.7391,0.6696,0.6771,0.7095,0.6587,0.7543,0.6413,0.7293,0.7007,0.7293,0.701
8,0.567,0.5788,0.7008,0.6848,0.7714,0.7605,0.6781,0.6448,0.7187,0.7233,0.7645,0.8236,0.7445,0.7333,0.7446,0.7337
9,0.5482,0.5612,0.7159,0.7011,0.7901,0.7772,0.6923,0.6582,0.7323,0.7369,0.7772,0.8371,0.7626,0.7472,0.7626,0.7474
10,0.5318,0.5559,0.7309,0.7103,0.8046,0.7906,0.7061,0.6643,0.7461,0.746,0.7908,0.8507,0.7791,0.7553,0.7791,0.7556
11,0.5152,0.5444,0.739,0.7307,0.8194,0.797,0.7126,0.6993,0.7543,0.7504,0.8012,0.8095,0.7963,0.767,0.7964,0.7672
12,0.4975,0.5264,0.7546,0.7333,0.8335,0.8135,0.7297,0.6877,0.7673,0.7623,0.809,0.8551,0.811,0.7833,0.8111,0.7835
13,0.479,0.5282,0.7655,0.7379,0.8478,0.8116,0.7394,0.7236,0.7776,0.7462,0.82,0.7702,0.8281,0.7862,0.8281,0.7863
14,0.4656,0.5043,0.7749,0.7535,0.8573,0.8311,0.7509,0.7084,0.7852,0.7776,0.8229,0.8619,0.8379,0.8007,0.8379,0.8009
15,0.4453,0.4865,0.7886,0.7656,0.87,0.8453,0.7645,0.7374,0.7978,0.7788,0.8341,0.825,0.8511,0.8195,0.8511,0.8196
16,0.4312,0.4621,0.7984,0.7748,0.8797,0.8631,0.7749,0.7301,0.8067,0.7948,0.8412,0.872,0.8622,0.8411,0.8622,0.8413
17,0.4152,0.4759,0.8076,0.7758,0.8891,0.8583,0.784,0.7924,0.8153,0.7693,0.8493,0.7475,0.874,0.8313,0.874,0.8315
18,0.3976,0.4597,0.8184,0.7881,0.8995,0.8636,0.796,0.7618,0.825,0.7983,0.8563,0.8386,0.8853,0.8363,0.8853,0.8365
19,0.3852,0.457,0.8262,0.7888,0.9053,0.8673,0.8047,0.7724,0.8322,0.7951,0.8616,0.8192,0.8931,0.8447,0.8931,0.8448
20,0.3685,0.4332,0.8361,0.8015,0.9142,0.8829,0.814,0.7679,0.8416,0.8132,0.8713,0.8643,0.9033,0.8603,0.9033,0.8604
21,0.3547,0.4345,0.8425,0.8046,0.9212,0.8819,0.8231,0.7815,0.8471,0.8124,0.8725,0.8459,0.911,0.8644,0.911,0.8644
22,0.3388,0.4516,0.8521,0.8058,0.928,0.887,0.8309,0.8311,0.8567,0.7982,0.8842,0.7678,0.9181,0.8689,0.9181,0.869
23,0.329,0.4194,0.855,0.809,0.9325,0.8929,0.8359,0.7737,0.859,0.8206,0.8834,0.8735,0.9252,0.8789,0.9252,0.879
24,0.3131,0.4342,0.8653,0.8107,0.9387,0.8915,0.8471,0.7631,0.8687,0.8264,0.8915,0.9011,0.931,0.8705,0.931,0.8707
25,0.3022,0.4251,0.8704,0.8221,0.9432,0.8973,0.8527,0.7803,0.8735,0.8345,0.8954,0.8968,0.9368,0.8773,0.9368,0.8774
26,0.2933,0.4187,0.874,0.8184,0.9464,0.9008,0.8558,0.8272,0.8771,0.816,0.8996,0.8051,0.9404,0.8819,0.9404,0.882
27,0.2788,0.4205,0.8822,0.8196,0.9519,0.9022,0.8649,0.8283,0.885,0.8173,0.9061,0.8066,0.9468,0.8872,0.9468,0.8872
28,0.2725,0.3983,0.885,0.8327,0.9539,0.9051,0.8699,0.8174,0.8873,0.8367,0.9054,0.857,0.9483,0.8887,0.9483,0.8888
29,0.2563,0.4285,0.8936,0.8235,0.9594,0.9026,0.8783,0.7818,0.8957,0.8357,0.9138,0.8977,0.9556,0.8914,0.9556,0.8915
30,0.2429,0.4133,0.8996,0.8288,0.9635,0.9069,0.8859,0.7944,0.9013,0.8384,0.9174,0.8875,0.9594,0.8913,0.9594,0.8914
31,0.2514,0.4276,0.8941,0.8206,0.9609,0.8978,0.8795,0.8155,0.8961,0.8221,0.9133,0.8289,0.9572,0.8776,0.9572,0.8776
32,0.2401,0.4144,0.9003,0.832,0.9644,0.9103,0.8858,0.8177,0.9022,0.8357,0.9191,0.8546,0.9614,0.8991,0.9614,0.8991
33,0.2257,0.4438,0.9069,0.8327,0.9686,0.908,0.8937,0.82,0.9084,0.836,0.9237,0.8526,0.9656,0.8928,0.9656,0.8928
34,0.2129,0.4118,0.9122,0.8407,0.9719,0.9169,0.8991,0.8075,0.9137,0.8489,0.9287,0.8948,0.9692,0.9011,0.9692,0.9012
35,0.2041,0.4245,0.917,0.8359,0.9742,0.9131,0.9039,0.825,0.9183,0.8386,0.9332,0.8526,0.9721,0.8982,0.9721,0.8982
36,0.2059,0.407,0.9147,0.8475,0.974,0.916,0.9033,0.8181,0.9158,0.8543,0.9288,0.8938,0.9721,0.898,0.9721,0.8981
37,0.1874,0.4464,0.9246,0.8376,0.9783,0.9123,0.9136,0.8191,0.9256,0.8422,0.9379,0.8667,0.977,0.898,0.977,0.898
38,0.1913,0.43,0.9245,0.839,0.9772,0.9148,0.9131,0.8099,0.9256,0.8463,0.9383,0.8861,0.9753,0.9022,0.9753,0.9023
39,0.184,0.4359,0.9261,0.8429,0.979,0.9143,0.9155,0.8183,0.927,0.8488,0.9388,0.8817,0.9777,0.9,0.9777,0.9001
40,0.1753,0.4784,0.9297,0.8349,0.9811,0.9114,0.9195,0.8397,0.9306,0.8338,0.942,0.8279,0.98,0.896,0.98,0.8961
41,0.1293,0.4375,0.9505,0.857,0.9897,0.9277,0.942,0.8346,0.951,0.8616,0.9602,0.8905,0.9891,0.9152,0.9891,0.9153
42,0.1007,0.4693,0.9624,0.8548,0.9938,0.9264,0.9555,0.8333,0.9627,0.8594,0.9699,0.8871,0.9935,0.9105,0.9935,0.9105
43,0.0849,0.4702,0.9691,0.8589,0.9956,0.9291,0.9638,0.8252,0.9693,0.8659,0.9748,0.9108,0.9953,0.9142,0.9953,0.9141
44,0.0815,0.4715,0.9707,0.8592,0.9959,0.9276,0.9652,0.8421,0.9709,0.8626,0.9767,0.8841,0.9958,0.9128,0.9958,0.9129
45,0.0773,0.482,0.9721,0.8582,0.9964,0.9289,0.9671,0.8466,0.9723,0.8605,0.9775,0.8749,0.9964,0.9135,0.9964,0.9134
46,0.0725,0.5175,0.9735,0.856,0.9968,0.9282,0.9684,0.8444,0.9736,0.8584,0.9789,0.873,0.9967,0.9152,0.9967,0.9151
47,0.0699,0.5102,0.9738,0.8567,0.9971,0.9278,0.9706,0.8417,0.9739,0.8599,0.9772,0.8788,0.997,0.9141,0.997,0.914
48,0.0684,0.5552,0.9758,0.8541,0.9971,0.9256,0.9716,0.838,0.9759,0.8575,0.9803,0.8778,0.9971,0.9126,0.9971,0.9126
49,0.067,0.5312,0.9758,0.863,0.9972,0.929,0.9723,0.8433,0.9759,0.8669,0.9795,0.8919,0.9971,0.9174,0.9971,0.9173
50,0.0708,0.4938,0.9738,0.8623,0.9969,0.9297,0.9707,0.8402,0.9739,0.8667,0.9771,0.8948,0.9968,0.9186,0.9968,0.9186
51,0.0694,0.5358,0.9747,0.8601,0.9969,0.9279,0.9711,0.8437,0.9748,0.8634,0.9785,0.8841,0.9967,0.9139,0.9967,0.9138
52,0.0636,0.5618,0.978,0.857,0.9975,0.9263,0.9749,0.831,0.978,0.8624,0.9812,0.8963,0.9974,0.9109,0.9974,0.9108
53,0.059,0.5422,0.9784,0.8638,0.9978,0.929,0.9767,0.8454,0.9784,0.8673,0.9801,0.8905,0.9977,0.9144,0.9977,0.9141
54,0.0634,0.5565,0.9775,0.8592,0.9974,0.9287,0.9745,0.8427,0.9776,0.8625,0.9807,0.8832,0.9974,0.9175,0.9974,0.9173
55,0.0632,0.5514,0.9776,0.8638,0.9974,0.9304,0.9747,0.8422,0.9777,0.868,0.9806,0.8953,0.9973,0.9147,0.9973,0.914
56,0.0624,0.5614,0.9773,0.8562,0.9975,0.9267,0.9745,0.8375,0.9773,0.8602,0.9803,0.8841,0.9975,0.9131,0.9975,0.9129
