Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
1,0.7924,0.6791,0.5382,0.5697,0.5457,0.6313,0.5375,0.6805,0.5422,0.3796,0.547,0.2632,0.5271,0.6232,0.5272,0.6236
2,0.6734,0.6613,0.5775,0.5869,0.6096,0.6348,0.5741,0.5855,0.5867,0.5906,0.5999,0.5957,0.5869,0.6241,0.5869,0.6244
3,0.6585,0.6497,0.6027,0.6165,0.6426,0.6626,0.5929,0.5812,0.6228,0.6852,0.6559,0.8347,0.6149,0.6315,0.615,0.632
4,0.6352,0.6212,0.6295,0.6465,0.6821,0.7064,0.6149,0.6388,0.6516,0.6563,0.6931,0.6747,0.6517,0.6711,0.6518,0.6715
5,0.616,0.5997,0.6566,0.6698,0.7124,0.7332,0.6384,0.6504,0.6777,0.69,0.7223,0.7349,0.6774,0.6953,0.6775,0.6958
6,0.5883,0.5851,0.6818,0.695,0.7455,0.7578,0.6609,0.6648,0.7013,0.7208,0.747,0.7872,0.7136,0.7213,0.7137,0.7215
7,0.5723,0.5789,0.6972,0.696,0.7638,0.7718,0.6737,0.6426,0.7163,0.7441,0.7645,0.8837,0.7323,0.7321,0.7324,0.7326
8,0.5552,0.5782,0.7149,0.6931,0.7835,0.7892,0.6904,0.7613,0.7321,0.6472,0.7792,0.5628,0.7541,0.756,0.7541,0.7563
9,0.5376,0.5478,0.7246,0.7183,0.7981,0.7965,0.6992,0.7184,0.7412,0.7184,0.7885,0.7184,0.7698,0.7642,0.7698,0.7644
10,0.5187,0.5318,0.7408,0.7265,0.8172,0.8084,0.7145,0.6886,0.7557,0.7517,0.802,0.8274,0.7913,0.7783,0.7913,0.7784
11,0.4981,0.5257,0.7561,0.7341,0.8327,0.8244,0.7296,0.7614,0.7695,0.7195,0.8139,0.682,0.807,0.7919,0.807,0.7921
12,0.4788,0.5035,0.7681,0.7532,0.8478,0.8313,0.7421,0.7234,0.7798,0.7687,0.8216,0.8202,0.8273,0.8044,0.8273,0.8045
13,0.4632,0.4783,0.7812,0.7762,0.8582,0.8502,0.7556,0.7491,0.7917,0.7879,0.8313,0.8308,0.8348,0.8254,0.8348,0.8256
14,0.4461,0.4622,0.7887,0.7818,0.8698,0.8633,0.7634,0.7669,0.7983,0.7878,0.8367,0.81,0.8515,0.8376,0.8515,0.8378
15,0.4347,0.4633,0.796,0.7838,0.8768,0.8647,0.7727,0.7416,0.8044,0.8012,0.8389,0.8711,0.8592,0.844,0.8592,0.8441
16,0.4115,0.437,0.8136,0.801,0.8917,0.8791,0.7883,0.7797,0.8214,0.8083,0.8573,0.8391,0.8743,0.8568,0.8743,0.8569
17,0.3938,0.4389,0.8224,0.8022,0.9008,0.8821,0.7986,0.8116,0.8292,0.7992,0.8622,0.7872,0.8854,0.8635,0.8854,0.8636
18,0.3817,0.422,0.8271,0.8092,0.9074,0.8916,0.8036,0.8004,0.8336,0.812,0.8659,0.824,0.8941,0.8745,0.8941,0.8747
19,0.364,0.432,0.8398,0.8097,0.9161,0.8904,0.8172,0.7989,0.8453,0.8131,0.8754,0.8279,0.9045,0.8735,0.9045,0.8736
20,0.3569,0.4047,0.8427,0.825,0.9196,0.9012,0.8205,0.8111,0.8479,0.8288,0.8773,0.8473,0.9077,0.882,0.9078,0.8822
21,0.3353,0.4357,0.8521,0.8124,0.9288,0.8926,0.8303,0.7777,0.8568,0.8234,0.885,0.8749,0.9198,0.8767,0.9198,0.8768
22,0.3271,0.4339,0.8559,0.8121,0.9327,0.8954,0.8344,0.8194,0.8603,0.81,0.8878,0.8008,0.9235,0.8749,0.9235,0.875
23,0.3136,0.4035,0.8654,0.8313,0.9383,0.9066,0.8438,0.8148,0.8695,0.8356,0.8968,0.8575,0.9307,0.8922,0.9307,0.8923
24,0.3045,0.4065,0.8713,0.8242,0.942,0.9047,0.8515,0.7952,0.8749,0.8325,0.8995,0.8735,0.9346,0.8925,0.9346,0.8925
25,0.2966,0.4028,0.8726,0.8356,0.945,0.9098,0.8539,0.8055,0.8758,0.8434,0.8989,0.8851,0.9379,0.8936,0.9379,0.8937
26,0.2788,0.4176,0.8818,0.8376,0.9517,0.9094,0.863,0.8262,0.8848,0.8404,0.9077,0.8551,0.9467,0.8982,0.9467,0.8982
27,0.2706,0.3962,0.8864,0.84,0.9541,0.9118,0.8683,0.8125,0.8892,0.8468,0.911,0.8841,0.9478,0.8951,0.9478,0.8951
28,0.257,0.4152,0.8944,0.8315,0.9588,0.9063,0.8785,0.8016,0.8966,0.8395,0.9154,0.8812,0.9544,0.8912,0.9544,0.8912
29,0.258,0.4064,0.8925,0.84,0.9588,0.9141,0.8757,0.8283,0.8948,0.8429,0.9148,0.858,0.9552,0.8982,0.9552,0.8983
30,0.2419,0.424,0.9004,0.8325,0.9635,0.9095,0.8838,0.8353,0.9025,0.8318,0.922,0.8284,0.9598,0.894,0.9598,0.8941
31,0.2366,0.3963,0.9026,0.8456,0.9655,0.9194,0.8886,0.8172,0.9044,0.8522,0.9207,0.8905,0.9627,0.908,0.9627,0.9081
32,0.2278,0.4112,0.9062,0.8502,0.968,0.9188,0.8911,0.8343,0.908,0.8537,0.9255,0.874,0.9656,0.9057,0.9656,0.9058
33,0.2145,0.4119,0.9131,0.8482,0.9716,0.918,0.8982,0.8426,0.9147,0.8495,0.9317,0.8565,0.9692,0.9058,0.9692,0.9058
34,0.211,0.4297,0.9138,0.8485,0.9724,0.9171,0.9018,0.843,0.9151,0.8497,0.9287,0.8565,0.9702,0.9073,0.9702,0.9073
35,0.2099,0.4236,0.9138,0.8359,0.973,0.9176,0.8995,0.8504,0.9153,0.8325,0.9316,0.8153,0.9709,0.9053,0.9709,0.9053
