Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
1,0.7661,0.6815,0.5446,0.5691,0.5574,0.6134,0.5435,0.5451,0.5507,0.6598,0.5581,0.8356,0.5377,0.5852,0.5377,0.5855
2,0.6704,0.6635,0.5842,0.5988,0.6187,0.6432,0.5808,0.6207,0.5926,0.559,0.6049,0.5085,0.598,0.6189,0.598,0.6191
3,0.6506,0.6459,0.6155,0.631,0.662,0.6776,0.6076,0.6167,0.6291,0.6524,0.6521,0.6925,0.637,0.6495,0.637,0.6497
4,0.6188,0.6142,0.6574,0.6638,0.7144,0.7262,0.6445,0.6322,0.6722,0.6998,0.7023,0.7836,0.6846,0.6983,0.6847,0.6984
5,0.5802,0.5673,0.6937,0.6999,0.7608,0.7791,0.6752,0.6687,0.709,0.7253,0.7462,0.7924,0.7335,0.7525,0.7335,0.7526
6,0.5445,0.5385,0.7264,0.7375,0.7972,0.8106,0.7071,0.7531,0.7385,0.7291,0.7728,0.7066,0.7675,0.776,0.7675,0.7761
7,0.5182,0.5191,0.746,0.745,0.819,0.8247,0.7245,0.7029,0.7577,0.7689,0.794,0.8486,0.787,0.7975,0.787,0.7976
8,0.4995,0.5032,0.7581,0.7534,0.8331,0.8306,0.7327,0.722,0.7705,0.7698,0.8125,0.8243,0.8007,0.7998,0.8007,0.7999
9,0.4873,0.4933,0.7667,0.7618,0.8421,0.8393,0.7417,0.7367,0.7782,0.7739,0.8185,0.8151,0.8115,0.8037,0.8115,0.8038
10,0.4766,0.4803,0.7747,0.7672,0.8491,0.8484,0.7488,0.7257,0.7859,0.7869,0.8267,0.8594,0.8173,0.8185,0.8173,0.8186
11,0.4662,0.4753,0.7792,0.7834,0.8559,0.8523,0.7522,0.7631,0.7904,0.7915,0.8327,0.8221,0.8254,0.818,0.8254,0.8182
12,0.4638,0.492,0.7822,0.7672,0.8579,0.8582,0.7548,0.7069,0.7933,0.7969,0.8359,0.9132,0.828,0.8239,0.828,0.824
13,0.4581,0.4609,0.7859,0.7838,0.8614,0.8612,0.7576,0.7642,0.797,0.7915,0.8408,0.8208,0.8324,0.8275,0.8324,0.8277
14,0.4473,0.4778,0.7918,0.7744,0.8678,0.8523,0.765,0.7364,0.8018,0.7912,0.8424,0.8547,0.8384,0.8198,0.8385,0.8199
15,0.4476,0.4607,0.7915,0.7822,0.8683,0.862,0.7627,0.7732,0.8023,0.7858,0.8463,0.7988,0.8402,0.8304,0.8402,0.8305
16,0.4396,0.4473,0.7976,0.7938,0.8718,0.8683,0.7689,0.7695,0.8078,0.8027,0.8509,0.8389,0.8422,0.8339,0.8422,0.834
17,0.4403,0.4556,0.7964,0.79,0.8725,0.8624,0.7676,0.7628,0.8068,0.8004,0.8503,0.842,0.8439,0.8282,0.8439,0.8282
18,0.4331,0.4562,0.8003,0.7893,0.8762,0.8646,0.7718,0.7768,0.8103,0.7939,0.8529,0.8118,0.8484,0.8292,0.8484,0.8293
19,0.4256,0.452,0.8053,0.7903,0.8804,0.8691,0.7756,0.7417,0.8152,0.8095,0.8591,0.8909,0.8527,0.836,0.8527,0.8361
20,0.4211,0.442,0.8052,0.7971,0.8828,0.8702,0.7759,0.7633,0.8151,0.8094,0.8584,0.8614,0.857,0.8387,0.857,0.8387
21,0.4225,0.4541,0.8059,0.7867,0.8822,0.8654,0.7765,0.7397,0.8157,0.8058,0.859,0.8849,0.8555,0.8332,0.8555,0.8332
22,0.4173,0.4393,0.8096,0.7998,0.8849,0.8735,0.779,0.7701,0.8195,0.8103,0.8644,0.855,0.8574,0.8435,0.8574,0.8436
23,0.4147,0.4426,0.8101,0.7961,0.8864,0.8714,0.7799,0.7742,0.8198,0.8039,0.8641,0.836,0.8605,0.8406,0.8606,0.8406
24,0.4153,0.4425,0.8098,0.7973,0.8863,0.8718,0.7788,0.756,0.8199,0.8125,0.8656,0.8781,0.8606,0.837,0.8606,0.8371
25,0.4084,0.441,0.8146,0.7981,0.8905,0.874,0.7836,0.7557,0.8243,0.8136,0.8694,0.881,0.8641,0.8417,0.8642,0.8418
26,0.41,0.4396,0.8119,0.8046,0.8892,0.8749,0.7812,0.7695,0.8216,0.8166,0.8665,0.8697,0.865,0.838,0.865,0.8381
27,0.4059,0.4356,0.8156,0.8036,0.8916,0.8781,0.7854,0.7789,0.8248,0.8119,0.8685,0.8479,0.8665,0.8484,0.8665,0.8484
