Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
1,0.7595,0.6825,0.5394,0.5499,0.5502,0.5865,0.5395,0.5721,0.5386,0.4681,0.5378,0.3961,0.5335,0.5664,0.5335,0.5666
2,0.6794,0.6742,0.5648,0.5741,0.5925,0.6186,0.5622,0.6121,0.5739,0.4875,0.586,0.4051,0.5769,0.6036,0.5769,0.6038
3,0.6643,0.6579,0.5933,0.604,0.633,0.6572,0.5868,0.6312,0.6082,0.5583,0.6312,0.5006,0.61,0.6344,0.61,0.6345
4,0.6403,0.622,0.6308,0.6513,0.681,0.7082,0.6208,0.6331,0.6454,0.6736,0.6721,0.7196,0.6549,0.6802,0.6549,0.6803
5,0.6089,0.5803,0.6675,0.697,0.7269,0.764,0.6521,0.6904,0.6834,0.7023,0.718,0.7146,0.6967,0.7357,0.6968,0.7358
6,0.5713,0.5469,0.705,0.7252,0.7717,0.7971,0.6863,0.691,0.7191,0.7479,0.7553,0.8149,0.7403,0.7606,0.7404,0.7607
7,0.5441,0.5433,0.725,0.7228,0.7971,0.8122,0.7044,0.6681,0.7382,0.7617,0.7753,0.8858,0.7675,0.7771,0.7675,0.7772
8,0.5199,0.5067,0.7461,0.7551,0.818,0.8291,0.7231,0.7403,0.7585,0.7625,0.7975,0.786,0.7857,0.7923,0.7857,0.7924
9,0.5019,0.5002,0.7576,0.7544,0.8317,0.8349,0.7346,0.7112,0.769,0.7773,0.8067,0.857,0.7991,0.8024,0.7991,0.8026
10,0.4923,0.4885,0.7642,0.7699,0.8389,0.8429,0.7386,0.7658,0.7762,0.7717,0.8179,0.7776,0.8068,0.8055,0.8068,0.8057
11,0.4776,0.4694,0.7732,0.7736,0.8485,0.8537,0.748,0.734,0.7841,0.7913,0.8239,0.8583,0.8185,0.8213,0.8185,0.8214
12,0.4712,0.464,0.7775,0.7818,0.8532,0.8577,0.7505,0.7583,0.7889,0.7913,0.8314,0.8272,0.8244,0.8224,0.8244,0.8225
13,0.4628,0.465,0.7825,0.7817,0.8581,0.857,0.7544,0.7483,0.7938,0.7955,0.8375,0.849,0.8294,0.8213,0.8294,0.8215
14,0.457,0.4624,0.7848,0.7872,0.8616,0.8595,0.7576,0.7646,0.7957,0.7959,0.8378,0.8298,0.8317,0.8269,0.8317,0.827
15,0.4543,0.4523,0.7897,0.7897,0.8638,0.8679,0.7626,0.7405,0.8,0.8092,0.8413,0.892,0.8334,0.8369,0.8334,0.837
16,0.4447,0.4454,0.7936,0.7943,0.8689,0.8684,0.7647,0.7667,0.8043,0.8045,0.8482,0.8462,0.8404,0.8344,0.8404,0.8345
17,0.4421,0.4503,0.7932,0.7912,0.8706,0.8684,0.7644,0.789,0.8039,0.7921,0.8476,0.7952,0.8412,0.8354,0.8412,0.8355
18,0.4358,0.4427,0.7986,0.7946,0.875,0.8691,0.7697,0.7703,0.8088,0.8034,0.852,0.8395,0.8476,0.8335,0.8476,0.8335
19,0.4318,0.4524,0.8015,0.793,0.8769,0.8694,0.7731,0.7936,0.8113,0.7929,0.8534,0.7922,0.8492,0.8367,0.8492,0.8368
