Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
1,0.738,0.6773,0.5411,0.5728,0.5527,0.6028,0.5405,0.5615,0.544,0.6089,0.5475,0.665,0.5361,0.586,0.5362,0.5862
2,0.6755,0.6734,0.5721,0.5783,0.603,0.6417,0.5679,0.6356,0.5848,0.4655,0.6027,0.3672,0.5851,0.613,0.5851,0.6133
3,0.6571,0.6462,0.6041,0.6283,0.6473,0.6798,0.5954,0.6457,0.6213,0.6049,0.6495,0.5689,0.625,0.6537,0.625,0.6539
4,0.6302,0.627,0.6416,0.6452,0.696,0.7241,0.629,0.5998,0.6584,0.711,0.6908,0.8726,0.6704,0.6942,0.6704,0.6944
5,0.5959,0.5884,0.6818,0.6891,0.7444,0.7635,0.6643,0.6462,0.6979,0.7289,0.735,0.836,0.713,0.7361,0.713,0.7362
6,0.5634,0.5611,0.7109,0.7153,0.7794,0.7901,0.6895,0.7238,0.7262,0.7099,0.7671,0.6965,0.7484,0.7603,0.7484,0.7605
7,0.5354,0.5315,0.7328,0.7314,0.8055,0.8104,0.7109,0.6945,0.746,0.7547,0.7846,0.8263,0.7751,0.7782,0.7752,0.7783
8,0.5143,0.5046,0.7485,0.7566,0.8231,0.8306,0.7245,0.743,0.7613,0.7633,0.802,0.7849,0.7902,0.8007,0.7903,0.8008
9,0.4964,0.493,0.7591,0.7642,0.836,0.8421,0.7344,0.7248,0.7711,0.7833,0.8116,0.8521,0.8044,0.8152,0.8044,0.8153
10,0.4865,0.4903,0.7657,0.7588,0.8427,0.8429,0.7402,0.7131,0.7774,0.7822,0.8186,0.8662,0.8122,0.814,0.8122,0.8141
11,0.4744,0.477,0.7745,0.7716,0.8508,0.8518,0.7482,0.7242,0.7858,0.7935,0.8275,0.8775,0.8196,0.8178,0.8197,0.8179
12,0.4658,0.4667,0.7806,0.7753,0.8566,0.8564,0.7531,0.7605,0.7918,0.7815,0.8347,0.8036,0.8253,0.8261,0.8253,0.8262
13,0.4581,0.4586,0.7839,0.7808,0.8608,0.8605,0.7564,0.7626,0.7949,0.7882,0.8375,0.8155,0.83,0.8316,0.8301,0.8317
14,0.4526,0.4641,0.7893,0.78,0.8652,0.8566,0.7612,0.7509,0.8,0.7921,0.843,0.838,0.8356,0.8234,0.8356,0.8235
15,0.4513,0.4554,0.7908,0.7839,0.865,0.8629,0.761,0.7464,0.8021,0.7992,0.8479,0.86,0.835,0.8324,0.835,0.8325
16,0.4451,0.4507,0.7933,0.7871,0.869,0.8659,0.7652,0.7469,0.8037,0.8031,0.8463,0.8684,0.8405,0.8327,0.8406,0.8328
17,0.4375,0.452,0.7969,0.7894,0.8733,0.8673,0.7676,0.7438,0.8074,0.8074,0.8516,0.883,0.8442,0.8351,0.8442,0.8351
18,0.4408,0.4482,0.7954,0.7885,0.8716,0.8672,0.7658,0.7592,0.8061,0.7998,0.851,0.8451,0.8432,0.8372,0.8432,0.8373
19,0.4326,0.4484,0.7996,0.7843,0.8759,0.8682,0.7709,0.734,0.8096,0.8053,0.8525,0.8918,0.8477,0.8394,0.8477,0.8394
20,0.4278,0.4467,0.8039,0.7884,0.8795,0.8683,0.7735,0.7522,0.8142,0.8026,0.8595,0.8603,0.8524,0.8414,0.8524,0.8415
21,0.4268,0.4469,0.8052,0.7883,0.8802,0.8698,0.7756,0.7474,0.8152,0.8044,0.859,0.8708,0.853,0.84,0.853,0.84
22,0.4248,0.4383,0.805,0.7973,0.8811,0.8737,0.7743,0.7631,0.8153,0.8097,0.8609,0.8625,0.8548,0.8394,0.8548,0.8395
23,0.4201,0.438,0.8078,0.7997,0.884,0.8728,0.778,0.7756,0.8175,0.8082,0.8613,0.8435,0.8582,0.8398,0.8582,0.8399
24,0.4173,0.4374,0.8106,0.7969,0.8852,0.8743,0.7809,0.7551,0.8202,0.8123,0.8635,0.8788,0.8583,0.847,0.8583,0.847
25,0.4139,0.4396,0.8117,0.7983,0.8873,0.8755,0.7808,0.7759,0.8216,0.8062,0.8669,0.8389,0.8617,0.8468,0.8617,0.8469
26,0.4108,0.4336,0.8113,0.8024,0.8892,0.8776,0.7803,0.7917,0.8212,0.806,0.8666,0.8208,0.8656,0.8484,0.8656,0.8485
27,0.4088,0.4382,0.815,0.7971,0.8901,0.8734,0.7848,0.7643,0.8243,0.809,0.8681,0.8592,0.8644,0.8436,0.8644,0.8436
28,0.4067,0.4309,0.8157,0.8007,0.8923,0.8792,0.7861,0.758,0.8248,0.816,0.8674,0.8836,0.8685,0.8505,0.8685,0.8505
29,0.4032,0.4362,0.8172,0.7996,0.8931,0.8762,0.7868,0.752,0.8264,0.817,0.8701,0.8942,0.8695,0.8456,0.8695,0.8457
30,0.4023,0.4339,0.8186,0.7936,0.8939,0.8775,0.7883,0.744,0.8277,0.8126,0.8711,0.8953,0.8696,0.8486,0.8696,0.8487
31,0.3999,0.4314,0.8199,0.7992,0.8956,0.879,0.79,0.7542,0.8287,0.8155,0.8715,0.8878,0.8736,0.8532,0.8736,0.8533
32,0.4027,0.4304,0.8187,0.799,0.8941,0.8773,0.7891,0.7584,0.8276,0.8136,0.87,0.8775,0.871,0.847,0.871,0.847
33,0.3942,0.4217,0.8217,0.8088,0.8983,0.8823,0.7909,0.7812,0.8307,0.8177,0.8747,0.8578,0.8765,0.8524,0.8765,0.8525
34,0.3929,0.438,0.8246,0.7983,0.8992,0.8764,0.7951,0.7757,0.8329,0.8063,0.8746,0.8393,0.8769,0.8477,0.8769,0.8477
35,0.3896,0.4294,0.8261,0.8054,0.9008,0.8804,0.7959,0.7875,0.8346,0.8112,0.8773,0.8365,0.8791,0.848,0.8792,0.848
