Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
1,0.7546,0.6999,0.5463,0.5506,0.5579,0.5909,0.5449,0.5308,0.5527,0.6603,0.5607,0.8735,0.5385,0.5696,0.5385,0.5698
2,0.6714,0.6644,0.581,0.593,0.6158,0.652,0.5769,0.5651,0.5919,0.6647,0.6076,0.8069,0.5952,0.6259,0.5953,0.6262
3,0.648,0.6449,0.6202,0.6274,0.6669,0.6939,0.6125,0.5897,0.6327,0.6921,0.6542,0.8376,0.641,0.6689,0.6411,0.669
4,0.622,0.5973,0.652,0.6773,0.7088,0.7475,0.6394,0.6891,0.6669,0.667,0.6968,0.6462,0.6811,0.7199,0.6811,0.7201
5,0.5814,0.5577,0.6978,0.7169,0.761,0.7926,0.6792,0.6747,0.7127,0.7474,0.7498,0.8376,0.7276,0.758,0.7276,0.7581
6,0.5484,0.5301,0.7232,0.7388,0.7938,0.8103,0.7013,0.7192,0.7374,0.75,0.7774,0.7836,0.7618,0.7823,0.7618,0.7824
7,0.5249,0.5124,0.7393,0.7478,0.8136,0.8273,0.7156,0.7107,0.7529,0.7683,0.7943,0.836,0.7825,0.7966,0.7825,0.7967
8,0.5005,0.4955,0.757,0.7601,0.8325,0.8395,0.7321,0.7174,0.7694,0.7815,0.8106,0.8583,0.8013,0.8021,0.8013,0.8022
9,0.4882,0.4964,0.765,0.7606,0.8412,0.8409,0.7389,0.7621,0.7772,0.7599,0.8197,0.7578,0.8104,0.8095,0.8104,0.8097
10,0.4782,0.4751,0.7733,0.7756,0.848,0.8517,0.7471,0.7499,0.7848,0.7866,0.8265,0.8272,0.8175,0.8172,0.8175,0.8173
11,0.4721,0.4757,0.7751,0.7781,0.852,0.8515,0.7486,0.7465,0.7865,0.7916,0.8284,0.8424,0.8237,0.8162,0.8237,0.8162
12,0.4675,0.475,0.78,0.78,0.8555,0.8549,0.7531,0.7803,0.791,0.7799,0.833,0.7796,0.8274,0.8192,0.8274,0.8193
13,0.4528,0.4555,0.7884,0.7835,0.8643,0.8646,0.7603,0.7524,0.7992,0.7961,0.8422,0.8453,0.8335,0.8321,0.8336,0.8322
14,0.4482,0.4572,0.7899,0.7861,0.867,0.8637,0.7608,0.7487,0.801,0.8011,0.8457,0.8614,0.8385,0.8268,0.8385,0.8269
15,0.4434,0.4521,0.7945,0.7917,0.8697,0.8652,0.7652,0.7565,0.8053,0.8051,0.8498,0.8603,0.8408,0.8257,0.8408,0.8259
16,0.4392,0.4515,0.7954,0.7918,0.8722,0.8671,0.7647,0.7772,0.8066,0.7972,0.8533,0.8182,0.8442,0.8322,0.8442,0.8324
