Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall
62,0.0526,0.5042,0.9817,0.8875,0.974,0.796,0.9703,0.7477,0.9672,0.7286
63,0.0546,0.5386,0.9806,0.8939,0.9714,0.8087,0.9603,0.7721,0.9524,0.762
64,0.0549,0.5312,0.982,0.8905,0.9794,0.7807,0.9721,0.7545,0.9661,0.7444
65,0.0502,0.5335,0.9824,0.8923,0.9788,0.7966,0.9731,0.7712,0.9693,0.7637
66,0.0521,0.5011,0.9813,0.8891,0.9819,0.7786,0.9767,0.7602,0.9735,0.7614
67,0.0524,0.499,0.982,0.891,0.9714,0.783,0.9698,0.76,0.9687,0.7586
68,0.0456,0.542,0.9847,0.8867,0.9847,0.8041,0.9831,0.7642,0.9817,0.7509
69,0.0436,0.5152,0.9855,0.8972,0.9896,0.7992,0.9798,0.7805,0.9732,0.783
70,0.0446,0.5128,0.9843,0.8931,0.9791,0.7971,0.976,0.7747,0.9752,0.7729
71,0.0441,0.5536,0.9851,0.8937,0.9864,0.7689,0.9773,0.7511,0.972,0.7519
72,0.0452,0.5515,0.9847,0.8913,0.9731,0.7988,0.9706,0.7652,0.9694,0.7594
73,0.0535,0.5421,0.982,0.8956,0.98,0.797,0.9813,0.7688,0.9828,0.7609
74,0.0471,0.5351,0.9833,0.8937,0.9813,0.8086,0.9762,0.7813,0.9727,0.7785
75,0.0418,0.5362,0.9855,0.891,0.9793,0.7936,0.9759,0.7664,0.9734,0.7678
76,0.0514,0.5352,0.9824,0.8926,0.9792,0.7902,0.9718,0.7608,0.9664,0.7647
77,0.0482,0.537,0.9839,0.8982,0.976,0.8175,0.9735,0.7961,0.9727,0.7997
78,0.0429,0.5249,0.9858,0.8988,0.9821,0.8046,0.97,0.7713,0.9629,0.7684
79,0.0442,0.5098,0.9842,0.8961,0.9822,0.7904,0.9803,0.7735,0.9803,0.7741
80,0.0466,0.5201,0.9845,0.8953,0.9814,0.8226,0.9712,0.7923,0.9669,0.7889
81,0.0302,0.5391,0.9894,0.9012,0.981,0.7912,0.9777,0.7664,0.9776,0.7611
82,0.0202,0.5408,0.9932,0.902,0.9956,0.791,0.9886,0.7636,0.9838,0.7589
83,0.0162,0.5413,0.9947,0.9006,0.996,0.7831,0.9934,0.7557,0.9919,0.7497
84,0.014,0.5496,0.9952,0.9012,0.9957,0.7995,0.9936,0.777,0.9917,0.7811
85,0.014,0.5254,0.9957,0.902,0.9939,0.8132,0.9913,0.7915,0.9902,0.7977
86,0.0113,0.5436,0.9965,0.9036,0.9968,0.8023,0.9945,0.7766,0.9929,0.7686
87,0.013,0.5449,0.996,0.9041,0.9971,0.8038,0.9945,0.7775,0.9923,0.7737
88,0.0121,0.5397,0.9962,0.9049,0.995,0.7986,0.9955,0.7815,0.9961,0.7819
89,0.0117,0.5518,0.9962,0.9076,0.9957,0.8271,0.9928,0.8001,0.991,0.7935
90,0.013,0.5417,0.9957,0.9047,0.9973,0.8185,0.9966,0.8,0.9959,0.8021
91,0.0141,0.5784,0.9958,0.9063,0.9934,0.8163,0.9944,0.7952,0.9959,0.7952
92,0.0148,0.5332,0.9953,0.9009,0.9968,0.7878,0.9951,0.7629,0.9936,0.7601
93,0.0126,0.5641,0.9959,0.9049,0.9972,0.8256,0.9967,0.7959,0.9963,0.7871
94,0.0125,0.5521,0.9959,0.9052,0.9958,0.8105,0.993,0.7858,0.9908,0.7806
95,0.0138,0.5296,0.9955,0.9033,0.9931,0.7962,0.9934,0.7819,0.9944,0.7805
96,0.0124,0.5636,0.996,0.9055,0.9962,0.7979,0.9933,0.7864,0.991,0.7912
97,0.0126,0.588,0.9958,0.9012,0.9965,0.8023,0.9936,0.7795,0.9917,0.7838
98,0.0125,0.5576,0.9959,0.9039,0.9942,0.8028,0.9929,0.7808,0.992,0.7774
99,0.0158,0.5674,0.9947,0.9036,0.9861,0.8197,0.9847,0.7907,0.9843,0.7817
100,0.0152,0.5595,0.9947,0.9017,0.9948,0.8144,0.9943,0.7993,0.994,0.8036
101,0.0141,0.5634,0.9955,0.9041,0.9939,0.8052,0.993,0.777,0.9928,0.7748
102,0.0156,0.5863,0.9957,0.9063,0.9977,0.7942,0.9926,0.778,0.9887,0.7812
103,0.0155,0.5652,0.9952,0.9036,0.9937,0.8065,0.9918,0.7889,0.9904,0.7956
104,0.0155,0.5723,0.9949,0.9017,0.9952,0.8121,0.994,0.7802,0.9929,0.7765
105,0.015,0.552,0.995,0.9039,0.9912,0.8092,0.9936,0.7895,0.9962,0.7849
106,0.0163,0.587,0.9947,0.8972,0.9963,0.8004,0.9964,0.7676,0.9965,0.7626
107,0.017,0.5442,0.9947,0.8982,0.9951,0.7868,0.9874,0.7689,0.9821,0.7827
108,0.0143,0.5718,0.9951,0.9028,0.995,0.8176,0.9925,0.7894,0.9905,0.7925
109,0.0147,0.6085,0.9955,0.899,0.997,0.7792,0.9954,0.7666,0.9939,0.7758
