Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall
112,0.0125,0.6456,0.9962,0.8993,0.9928,0.8,0.9918,0.7665,0.992,0.7506
113,0.0127,0.6506,0.9965,0.8998,0.9944,0.7973,0.9878,0.7666,0.9835,0.7518
114,0.0128,0.6694,0.9962,0.9022,0.9902,0.7764,0.9887,0.7486,0.9879,0.7383
115,0.0143,0.6847,0.9955,0.8977,0.9903,0.7844,0.9917,0.7384,0.9938,0.7193
116,0.0147,0.6411,0.995,0.9004,0.9933,0.8076,0.9835,0.7784,0.9791,0.7661
117,0.015,0.6513,0.9951,0.8988,0.9942,0.7741,0.9942,0.7465,0.9942,0.7351
118,0.0171,0.6732,0.9945,0.8939,0.9939,0.7735,0.9947,0.7373,0.9956,0.7204
119,0.0174,0.6917,0.9945,0.8974,0.9914,0.7901,0.9909,0.7566,0.9911,0.7461
120,0.0163,0.6352,0.9945,0.9039,0.9959,0.8041,0.9918,0.7701,0.9889,0.7579
121,0.0118,0.6695,0.9964,0.9025,0.9981,0.7767,0.9934,0.7501,0.99,0.7397
122,0.0092,0.6627,0.9974,0.9033,0.9974,0.7768,0.9959,0.75,0.9947,0.7379
123,0.0073,0.6788,0.9979,0.9055,0.9964,0.7833,0.9966,0.754,0.9971,0.7397
124,0.0069,0.6693,0.9981,0.9025,0.9978,0.8058,0.9937,0.775,0.9909,0.7641
125,0.0064,0.6725,0.9983,0.9039,0.9986,0.8122,0.997,0.7861,0.9957,0.7758
126,0.0061,0.6984,0.9982,0.9006,0.9992,0.8301,0.9988,0.8001,0.9984,0.7835
127,0.0066,0.6836,0.9981,0.9068,0.999,0.7995,0.9985,0.7797,0.9981,0.7763
128,0.0059,0.6645,0.9983,0.9076,0.9988,0.8185,0.9954,0.797,0.993,0.7891
129,0.0054,0.6674,0.9984,0.9076,0.9985,0.8263,0.9942,0.8031,0.9911,0.7944
130,0.0053,0.6631,0.9987,0.9063,0.9986,0.8201,0.9985,0.7993,0.9985,0.7912
131,0.0064,0.6648,0.9979,0.9122,0.9984,0.8263,0.9951,0.8015,0.9928,0.7926
132,0.0056,0.6612,0.9985,0.9057,0.999,0.8243,0.9987,0.7997,0.9985,0.7894
133,0.0057,0.6747,0.9984,0.9063,0.999,0.8132,0.9971,0.7836,0.9953,0.7723
134,0.0061,0.6512,0.9982,0.9057,0.9983,0.8392,0.9984,0.8015,0.9986,0.788
135,0.006,0.6577,0.9983,0.9065,0.9989,0.8132,0.9985,0.7804,0.9982,0.7662
136,0.0061,0.6544,0.9983,0.9065,0.9987,0.8027,0.9972,0.7818,0.9958,0.7758
137,0.0048,0.6897,0.9987,0.906,0.9994,0.8262,0.9993,0.7946,0.9992,0.7799
138,0.0047,0.6788,0.9986,0.9025,0.9993,0.7916,0.999,0.7626,0.9987,0.7502
139,0.0058,0.675,0.9983,0.9041,0.9973,0.8058,0.9959,0.784,0.9948,0.7763
140,0.0061,0.6498,0.998,0.9057,0.9976,0.8007,0.9976,0.7823,0.9978,0.7771
141,0.0061,0.6627,0.9985,0.9089,0.9964,0.8238,0.997,0.7854,0.9978,0.771
142,0.0063,0.698,0.9979,0.9084,0.9986,0.8114,0.9968,0.7833,0.9951,0.773
143,0.0063,0.6949,0.9982,0.9052,0.9979,0.8169,0.9985,0.78,0.999,0.7676
144,0.0065,0.6887,0.9979,0.9049,0.9983,0.8145,0.9949,0.7823,0.9926,0.7734
145,0.0058,0.6455,0.9987,0.9076,0.999,0.7943,0.9983,0.771,0.9975,0.7629
146,0.0055,0.6682,0.9983,0.9063,0.9922,0.7933,0.9945,0.7625,0.9974,0.7506
147,0.0064,0.6644,0.998,0.9057,0.9988,0.7919,0.9974,0.7639,0.9962,0.7536
148,0.0066,0.6816,0.9979,0.906,0.9967,0.8001,0.9969,0.7634,0.9972,0.7507
149,0.0059,0.6764,0.9983,0.9065,0.9966,0.7979,0.9978,0.7627,0.9991,0.7491
150,0.006,0.685,0.9981,0.9076,0.9991,0.8089,0.9977,0.7842,0.9964,0.7759
Epoch,Test Loss,Test Accuracy,Test PR,Test F1,Test Recall
150,0.5888,0.9062,0.815,0.7712,0.753
