Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall
1,2.5716,1.6011,0.3504,0.4796,0.084,0.1622,0.0482,0.0871,0.0421,0.0755
2,1.3691,1.2058,0.5758,0.6229,0.308,0.3543,0.2113,0.2481,0.1789,0.2217
3,1.0869,0.9836,0.6561,0.6976,0.4518,0.4502,0.3451,0.4237,0.3055,0.4529
4,0.9152,0.8885,0.7024,0.7284,0.5627,0.509,0.4638,0.4504,0.4237,0.4489
5,0.7953,0.7779,0.7386,0.7496,0.6236,0.6132,0.5427,0.5046,0.4986,0.4631
6,0.7094,0.7195,0.7643,0.7804,0.6706,0.6449,0.6017,0.5688,0.5621,0.5651
7,0.6353,0.6206,0.7833,0.7991,0.7024,0.68,0.6465,0.6038,0.6119,0.6006
8,0.5702,0.6031,0.8061,0.8104,0.7782,0.7043,0.7083,0.6614,0.6728,0.6436
9,0.5111,0.5836,0.823,0.8227,0.7881,0.7211,0.7425,0.657,0.7165,0.6351
10,0.4691,0.5805,0.8347,0.8166,0.8064,0.6665,0.7607,0.6119,0.732,0.6032
11,0.4503,0.5607,0.8458,0.8307,0.8108,0.7096,0.7767,0.674,0.7561,0.6781
12,0.3991,0.5252,0.86,0.8401,0.8394,0.7314,0.8003,0.6867,0.775,0.6685
13,0.3781,0.501,0.8636,0.8514,0.8371,0.7597,0.8091,0.69,0.7899,0.6614
14,0.3492,0.5154,0.8762,0.8366,0.8611,0.7311,0.8329,0.6826,0.8136,0.6757
15,0.3299,0.5073,0.8823,0.8519,0.8555,0.7715,0.838,0.7137,0.8254,0.6956
16,0.3089,0.4939,0.8905,0.8551,0.8827,0.7622,0.8583,0.734,0.8406,0.7354
17,0.2973,0.4836,0.8924,0.8634,0.876,0.7529,0.8456,0.7068,0.823,0.6952
18,0.2756,0.4986,0.8998,0.8565,0.8999,0.7418,0.8802,0.7031,0.8647,0.7043
19,0.2713,0.5061,0.9038,0.853,0.9124,0.755,0.8886,0.6875,0.8753,0.6595
20,0.2613,0.4963,0.9063,0.8672,0.9055,0.7618,0.884,0.7158,0.8695,0.697
21,0.2464,0.476,0.9117,0.8631,0.8998,0.7821,0.8886,0.734,0.8807,0.7159
22,0.2457,0.5044,0.91,0.8669,0.9006,0.7865,0.8707,0.721,0.8555,0.7031
23,0.2285,0.493,0.9169,0.8661,0.9156,0.7564,0.9047,0.7263,0.8976,0.7221
24,0.2145,0.4875,0.9215,0.8645,0.9062,0.7914,0.8912,0.7494,0.8805,0.736
25,0.2147,0.4747,0.9248,0.864,0.9137,0.7554,0.9017,0.7349,0.8931,0.7371
26,0.208,0.5038,0.9246,0.8677,0.9125,0.7703,0.8977,0.7411,0.886,0.73
27,0.1998,0.4945,0.9275,0.8637,0.8922,0.7772,0.8894,0.7113,0.8882,0.6855
28,0.2016,0.4868,0.9296,0.8736,0.9274,0.7767,0.9058,0.7412,0.8919,0.7334
29,0.1969,0.5039,0.9277,0.8674,0.9155,0.7655,0.9082,0.7397,0.9045,0.7326
30,0.1809,0.4931,0.9351,0.8664,0.9305,0.7527,0.9139,0.7317,0.9012,0.7352
31,0.1803,0.4884,0.936,0.8733,0.9226,0.7834,0.9148,0.7323,0.9105,0.7117
32,0.1824,0.4792,0.9337,0.8736,0.9273,0.7821,0.9132,0.7543,0.9025,0.7438
33,0.1714,0.4718,0.9402,0.8787,0.9096,0.7794,0.9024,0.7519,0.8969,0.7476
34,0.1639,0.5036,0.9426,0.8709,0.9352,0.7704,0.9246,0.751,0.9167,0.7519
35,0.1697,0.4978,0.9397,0.8709,0.934,0.7623,0.9146,0.7072,0.9045,0.6927
36,0.1586,0.4969,0.9437,0.8749,0.9416,0.7603,0.9184,0.7077,0.9095,0.6917
37,0.157,0.5005,0.9435,0.879,0.9332,0.7759,0.9186,0.7457,0.907,0.7462
38,0.145,0.471,0.9485,0.8739,0.9501,0.7699,0.9384,0.7417,0.9291,0.7353
39,0.1488,0.5262,0.9455,0.876,0.9345,0.7626,0.9236,0.7043,0.918,0.6854
40,0.1491,0.5013,0.9474,0.8819,0.9174,0.768,0.914,0.7391,0.9166,0.7341
41,0.0964,0.4846,0.9662,0.8942,0.969,0.8049,0.9633,0.7641,0.9598,0.7502
42,0.0654,0.4774,0.977,0.8889,0.9802,0.7821,0.974,0.7514,0.9709,0.7387
43,0.0543,0.5071,0.981,0.8891,0.9666,0.8017,0.9584,0.7738,0.9529,0.7735
44,0.0511,0.4922,0.9823,0.8966,0.9739,0.8004,0.9751,0.7708,0.9783,0.7668
45,0.0456,0.5128,0.9841,0.8931,0.9801,0.8055,0.9741,0.7561,0.9702,0.7359
46,0.0438,0.5118,0.9854,0.895,0.9877,0.8202,0.9837,0.7714,0.9804,0.7569
47,0.0469,0.5463,0.9837,0.8948,0.9822,0.7941,0.9801,0.7568,0.9783,0.7409
48,0.043,0.5501,0.985,0.8956,0.9833,0.8095,0.985,0.7758,0.9876,0.76
49,0.0437,0.5392,0.9857,0.8961,0.9825,0.7845,0.9853,0.7604,0.9887,0.7518
50,0.0437,0.5279,0.9849,0.8921,0.9896,0.7694,0.9839,0.7505,0.9795,0.7503
51,0.0459,0.5625,0.9839,0.8918,0.9847,0.7801,0.9825,0.77,0.9816,0.7763
52,0.0464,0.541,0.9832,0.8958,0.9748,0.7838,0.9731,0.7522,0.9724,0.743
53,0.0473,0.5668,0.9833,0.8953,0.9832,0.8171,0.9758,0.7772,0.9709,0.7616
54,0.0493,0.5447,0.9823,0.8905,0.9779,0.8064,0.9777,0.7539,0.9783,0.7349
55,0.0468,0.5499,0.984,0.8929,0.9829,0.7855,0.9744,0.7576,0.9678,0.7589
56,0.0443,0.5782,0.9851,0.8894,0.982,0.7861,0.9765,0.7578,0.9726,0.7501
57,0.047,0.5737,0.9833,0.8864,0.9893,0.812,0.9813,0.7625,0.9753,0.7514
58,0.0477,0.5796,0.9839,0.887,0.9816,0.7861,0.9823,0.7431,0.9838,0.7267
59,0.0445,0.5823,0.9851,0.887,0.9832,0.7848,0.9824,0.7467,0.982,0.7317
60,0.0508,0.5717,0.9827,0.8907,0.978,0.7938,0.9756,0.7644,0.974,0.7529
61,0.0568,0.5775,0.9806,0.8913,0.9748,0.8122,0.972,0.7725,0.9702,0.7516
62,0.0527,0.581,0.9814,0.8915,0.9793,0.8001,0.9678,0.7677,0.9596,0.7568
63,0.05,0.5898,0.9833,0.8894,0.9781,0.7843,0.9735,0.753,0.97,0.7437
64,0.048,0.586,0.9851,0.8897,0.9837,0.7721,0.983,0.7504,0.9833,0.7488
65,0.0462,0.6015,0.9842,0.8907,0.9818,0.7685,0.9776,0.7267,0.9755,0.7109
66,0.0516,0.5931,0.9821,0.8856,0.9751,0.7548,0.9663,0.7327,0.9607,0.7238
67,0.0535,0.5495,0.9823,0.8918,0.9818,0.792,0.9775,0.7664,0.9741,0.7645
68,0.0574,0.5749,0.9807,0.8889,0.978,0.78,0.9729,0.7493,0.9695,0.7415
69,0.0578,0.5895,0.9804,0.887,0.9766,0.795,0.9673,0.7392,0.9622,0.7158
70,0.0573,0.5797,0.9802,0.8926,0.9758,0.7945,0.9738,0.7623,0.9731,0.7569
71,0.0495,0.5762,0.983,0.8937,0.9725,0.776,0.9725,0.7453,0.9741,0.7387
72,0.0482,0.5732,0.9842,0.8948,0.9777,0.7791,0.9748,0.7623,0.9737,0.764
73,0.0467,0.5696,0.984,0.8956,0.9875,0.8028,0.9782,0.7743,0.9716,0.7629
74,0.0498,0.5853,0.9827,0.8972,0.9859,0.8013,0.9802,0.7642,0.9761,0.7633
75,0.0462,0.5848,0.9848,0.8894,0.9796,0.7952,0.9798,0.7601,0.9806,0.7494
76,0.0473,0.6128,0.9834,0.8969,0.9807,0.8011,0.9787,0.7593,0.9774,0.7383
77,0.0381,0.6214,0.9883,0.8923,0.9901,0.7789,0.9878,0.7513,0.9857,0.7457
78,0.0434,0.5985,0.9849,0.8918,0.9871,0.7786,0.9808,0.7557,0.9754,0.7592
79,0.0486,0.6001,0.9827,0.8873,0.9808,0.7645,0.9778,0.7387,0.9753,0.7347
80,0.0447,0.6217,0.9848,0.8915,0.9794,0.7784,0.9762,0.7405,0.9738,0.7297
81,0.032,0.6,0.9895,0.8996,0.9913,0.7982,0.9871,0.7698,0.984,0.7564
82,0.0211,0.6055,0.9925,0.9009,0.9808,0.7697,0.9846,0.7461,0.9893,0.7371
83,0.0173,0.5932,0.9942,0.9006,0.9925,0.7871,0.9906,0.7607,0.9891,0.7527
84,0.0144,0.5968,0.9956,0.902,0.9947,0.7903,0.9905,0.7687,0.9876,0.7654
85,0.0153,0.6174,0.9955,0.898,0.9958,0.7617,0.9954,0.737,0.995,0.7322
86,0.0107,0.6186,0.9967,0.9012,0.9983,0.8034,0.9965,0.779,0.9949,0.7692
87,0.0121,0.6373,0.9962,0.9012,0.9963,0.7889,0.9932,0.7625,0.9909,0.7506
88,0.0128,0.6244,0.996,0.8993,0.9972,0.7753,0.9912,0.7511,0.9866,0.748
89,0.0117,0.6444,0.9958,0.8996,0.9921,0.7778,0.9933,0.7581,0.9951,0.7577
90,0.0136,0.6078,0.9957,0.9025,0.9972,0.7899,0.9972,0.7637,0.9973,0.7521
91,0.0119,0.6406,0.9967,0.9014,0.9972,0.806,0.9951,0.7813,0.9934,0.771
92,0.0132,0.63,0.9961,0.8969,0.9954,0.794,0.9909,0.7747,0.9875,0.7686
93,0.0132,0.6331,0.9957,0.9033,0.9895,0.8088,0.993,0.7875,0.9973,0.7779
94,0.0125,0.6867,0.9959,0.9028,0.9963,0.8212,0.9918,0.7978,0.9887,0.7883
95,0.0148,0.6413,0.9948,0.9039,0.994,0.8119,0.9948,0.7849,0.9957,0.7767
96,0.0147,0.6402,0.9947,0.8969,0.9933,0.8125,0.99,0.7748,0.9883,0.7568
97,0.0134,0.6743,0.9959,0.8988,0.9955,0.7908,0.9947,0.7666,0.9941,0.7658
98,0.0138,0.6512,0.9953,0.9012,0.9951,0.7742,0.9941,0.7539,0.9933,0.7506
99,0.0164,0.6305,0.9949,0.9025,0.995,0.782,0.9946,0.7646,0.9944,0.7593
100,0.0177,0.6482,0.9947,0.9012,0.9929,0.7875,0.9913,0.7622,0.9911,0.7508
101,0.016,0.6377,0.995,0.8988,0.9971,0.7842,0.9949,0.7661,0.9929,0.7584
102,0.0158,0.6373,0.9942,0.9036,0.9939,0.7744,0.9951,0.7533,0.9964,0.7499
103,0.0181,0.6407,0.9941,0.9028,0.9967,0.7669,0.9959,0.7501,0.9952,0.7538
104,0.0151,0.645,0.9955,0.8998,0.9964,0.76,0.9962,0.7456,0.9961,0.7515
105,0.0163,0.6157,0.9951,0.8977,0.9941,0.7621,0.9946,0.7477,0.9951,0.753
106,0.0161,0.6669,0.9946,0.8996,0.9928,0.7783,0.9873,0.7493,0.9835,0.7389
107,0.0168,0.6156,0.9945,0.9017,0.9957,0.7816,0.9877,0.76,0.9821,0.751
108,0.0152,0.6274,0.9959,0.9071,0.9963,0.7809,0.9898,0.7648,0.9849,0.7597
109,0.0153,0.656,0.995,0.9014,0.9896,0.7988,0.9926,0.7687,0.9964,0.7528
110,0.0148,0.6462,0.9955,0.9033,0.992,0.7861,0.9935,0.7636,0.9955,0.7571
111,0.0136,0.624,0.9958,0.9041,0.9923,0.79,0.9913,0.7671,0.9916,0.7594
