Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall
1,2.5209,1.6192,0.3503,0.5145,0.0751,0.1829,0.0451,0.108,0.0408,0.0999
2,1.3839,1.1788,0.5738,0.6393,0.3293,0.2887,0.2051,0.1885,0.1762,0.1669
3,1.0931,0.9856,0.6533,0.6883,0.4501,0.4465,0.3315,0.3656,0.2926,0.3411
4,0.9096,0.8527,0.7083,0.726,0.601,0.5541,0.4849,0.4572,0.4347,0.438
5,0.7835,0.7445,0.7431,0.7582,0.6526,0.6055,0.5578,0.4934,0.5163,0.4599
6,0.683,0.6893,0.7726,0.7737,0.6844,0.6392,0.6033,0.5377,0.5654,0.5008
7,0.6128,0.6208,0.7941,0.7983,0.7444,0.6939,0.6575,0.6376,0.6152,0.6306
8,0.5619,0.5722,0.8098,0.8112,0.7474,0.7091,0.6866,0.6252,0.6551,0.5925
9,0.5032,0.5612,0.828,0.8187,0.7858,0.7036,0.7282,0.6493,0.6988,0.6457
10,0.4632,0.5516,0.8392,0.8219,0.7924,0.7015,0.7525,0.6311,0.7283,0.6035
11,0.4319,0.5351,0.8479,0.8299,0.8448,0.7114,0.7796,0.658,0.7424,0.6524
12,0.4001,0.5071,0.8594,0.842,0.8559,0.7811,0.8207,0.7421,0.7954,0.7345
13,0.3665,0.4942,0.8709,0.8412,0.8653,0.7265,0.8235,0.6655,0.7974,0.6434
14,0.3538,0.5023,0.8723,0.8431,0.8437,0.7737,0.8007,0.7238,0.7787,0.7012
15,0.3299,0.4935,0.8813,0.8449,0.8793,0.7228,0.8487,0.6835,0.8312,0.6726
16,0.316,0.47,0.8882,0.8548,0.8989,0.7515,0.8667,0.6899,0.8475,0.6642
17,0.2978,0.4535,0.8951,0.8605,0.8906,0.7672,0.8691,0.718,0.8539,0.696
18,0.2842,0.4647,0.8963,0.8554,0.8928,0.7596,0.867,0.7061,0.8515,0.6844
19,0.2655,0.4487,0.9055,0.8661,0.9104,0.7916,0.8913,0.7669,0.8773,0.7625
20,0.2486,0.4578,0.9085,0.8599,0.8834,0.7302,0.8731,0.6898,0.8668,0.6646
21,0.2393,0.4602,0.9123,0.8631,0.9106,0.749,0.8915,0.7028,0.8817,0.6876
22,0.24,0.4825,0.9137,0.8648,0.889,0.754,0.8695,0.7136,0.8537,0.695
23,0.2204,0.4583,0.9207,0.8682,0.9035,0.7825,0.8912,0.7308,0.8835,0.7066
24,0.216,0.4577,0.9211,0.8645,0.9025,0.7419,0.887,0.7159,0.8775,0.7041
25,0.2115,0.4536,0.9225,0.8682,0.9076,0.8441,0.8922,0.7841,0.8845,0.7602
26,0.2021,0.4694,0.927,0.8573,0.9364,0.7691,0.9154,0.7285,0.8997,0.7116
27,0.1985,0.4516,0.9267,0.8688,0.9137,0.7429,0.9047,0.7034,0.8988,0.6869
28,0.1941,0.4803,0.93,0.8715,0.9258,0.8073,0.9012,0.7505,0.8913,0.7322
29,0.1913,0.4813,0.9324,0.8706,0.922,0.7926,0.9007,0.7444,0.8851,0.7259
30,0.1831,0.4831,0.9336,0.864,0.9065,0.7837,0.9069,0.7224,0.9102,0.6914
