Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall
1,2.4589,1.4675,0.3609,0.557,0.1025,0.2184,0.0589,0.1494,0.0502,0.1415
2,1.3395,1.1168,0.589,0.6572,0.3286,0.3366,0.2104,0.2436,0.1798,0.2353
3,1.0512,0.969,0.6664,0.6773,0.5031,0.4631,0.3629,0.3811,0.3181,0.3729
4,0.8733,0.8161,0.7157,0.7472,0.5717,0.5689,0.4841,0.4984,0.4389,0.4872
5,0.7491,0.7426,0.755,0.7606,0.6359,0.623,0.5579,0.5075,0.5131,0.4816
6,0.6744,0.6955,0.7757,0.7716,0.6844,0.6362,0.6112,0.5551,0.5695,0.5371
7,0.5968,0.618,0.7946,0.7999,0.7384,0.6609,0.6699,0.5951,0.6297,0.5749
8,0.5375,0.6252,0.8143,0.7935,0.7724,0.6309,0.7045,0.5254,0.6679,0.4835
9,0.4895,0.5872,0.8326,0.8074,0.7668,0.6951,0.7226,0.6192,0.6971,0.5948
10,0.45,0.5734,0.8443,0.8117,0.8094,0.6882,0.7642,0.6183,0.7346,0.5902
11,0.4178,0.5511,0.8538,0.8235,0.8193,0.715,0.7882,0.654,0.7652,0.6271
12,0.3957,0.5257,0.8615,0.8273,0.835,0.7329,0.7912,0.6744,0.7627,0.6484
13,0.3619,0.5355,0.8722,0.8415,0.8275,0.7052,0.7865,0.663,0.7581,0.6542
14,0.3374,0.5377,0.8781,0.8382,0.866,0.6703,0.8344,0.6378,0.8158,0.6423
15,0.3279,0.5143,0.8831,0.8439,0.8522,0.7425,0.8275,0.6971,0.8103,0.6858
16,0.301,0.5,0.8913,0.8522,0.8696,0.7672,0.8499,0.6829,0.835,0.6417
17,0.2842,0.5051,0.899,0.8524,0.8813,0.7355,0.8586,0.6904,0.8448,0.6787
18,0.2656,0.5083,0.9037,0.8452,0.8988,0.7014,0.8784,0.6709,0.8637,0.6664
19,0.2543,0.4835,0.9091,0.8522,0.876,0.7715,0.8569,0.7198,0.8425,0.6901
20,0.2395,0.4968,0.9135,0.8583,0.9195,0.7421,0.9028,0.7001,0.892,0.6867
21,0.2363,0.4708,0.9153,0.8548,0.8987,0.7429,0.8835,0.6817,0.8722,0.6613
22,0.2248,0.491,0.9191,0.8567,0.907,0.7436,0.9009,0.6947,0.8982,0.6731
23,0.2128,0.502,0.923,0.8575,0.8947,0.7314,0.8773,0.6805,0.8648,0.6633
24,0.2138,0.5109,0.9213,0.8567,0.9234,0.749,0.9074,0.6939,0.8959,0.6764
