Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall
1,2.3692,1.4991,0.3752,0.5394,0.1265,0.2072,0.0618,0.1466,0.053,0.1377
2,1.3234,1.0898,0.5955,0.6599,0.3249,0.3895,0.2212,0.2695,0.1891,0.2364
3,1.0315,0.973,0.6756,0.6872,0.4565,0.489,0.3569,0.3583,0.3175,0.3251
4,0.8582,0.8247,0.7235,0.7314,0.5242,0.5673,0.4397,0.4674,0.3995,0.4378
5,0.744,0.7149,0.7549,0.7633,0.607,0.6152,0.5386,0.5274,0.5016,0.5064
6,0.6629,0.6364,0.7772,0.7922,0.6754,0.6504,0.6067,0.5654,0.566,0.5488
7,0.58,0.5859,0.8021,0.8045,0.7213,0.6468,0.6562,0.5879,0.6218,0.572
8,0.5342,0.564,0.8144,0.8107,0.7138,0.7315,0.6663,0.6478,0.6367,0.6203
9,0.4902,0.5426,0.8296,0.8283,0.7705,0.7126,0.7333,0.6761,0.7049,0.6659
10,0.4342,0.5213,0.8467,0.8267,0.8082,0.7084,0.7602,0.664,0.7284,0.6495
11,0.4128,0.5056,0.8549,0.8366,0.8178,0.7271,0.7723,0.6734,0.7494,0.6505
12,0.3781,0.5279,0.8677,0.831,0.8126,0.6915,0.7816,0.6434,0.7577,0.6309
13,0.3626,0.4711,0.8713,0.8423,0.8593,0.7076,0.8103,0.66,0.7818,0.6523
14,0.3307,0.4722,0.8805,0.8498,0.8593,0.714,0.8232,0.6847,0.7997,0.6826
15,0.3164,0.4785,0.8863,0.849,0.8598,0.7168,0.8364,0.6931,0.8187,0.6875
16,0.2899,0.4659,0.8951,0.8492,0.8689,0.7175,0.8345,0.6931,0.8126,0.687
17,0.2753,0.4816,0.9032,0.8468,0.8815,0.7188,0.8601,0.6835,0.8432,0.6689
18,0.2675,0.4569,0.9037,0.8557,0.8748,0.7048,0.8537,0.6974,0.8405,0.7058
19,0.2577,0.4706,0.9078,0.8602,0.8962,0.7286,0.8816,0.7175,0.8718,0.7241
