Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
39,0.1105,0.2277,0.9567,0.9131,0.9923,0.9742,0.9642,0.8703,0.9622,0.8972,0.9602,0.9257,0.9944,0.9667,0.9944,0.9666
40,0.11,0.2105,0.957,0.9184,0.9924,0.9761,0.9645,0.8817,0.9625,0.9028,0.9605,0.925,0.9945,0.9687,0.9945,0.9687
41,0.0765,0.1728,0.9705,0.9342,0.9963,0.9843,0.9761,0.9041,0.9743,0.9212,0.9725,0.9391,0.9973,0.9799,0.9973,0.9799
42,0.0737,0.1884,0.9715,0.927,0.9965,0.9846,0.9765,0.8756,0.9751,0.9149,0.9738,0.9578,0.9975,0.9801,0.9975,0.9801
43,0.0727,0.1848,0.9719,0.932,0.9966,0.9847,0.9771,0.8891,0.9755,0.9199,0.9738,0.9528,0.9975,0.9801,0.9975,0.9801
44,0.0717,0.1918,0.9722,0.9292,0.9967,0.9836,0.9774,0.8856,0.9757,0.9166,0.9741,0.9499,0.9976,0.9786,0.9976,0.9785
45,0.0711,0.1696,0.9726,0.9361,0.9968,0.9856,0.9778,0.9006,0.9761,0.924,0.9745,0.9487,0.9976,0.9815,0.9976,0.9815
46,0.0693,0.1724,0.9731,0.9361,0.9969,0.9844,0.9781,0.9079,0.9766,0.9233,0.9751,0.9393,0.9978,0.9794,0.9978,0.9794
47,0.069,0.1642,0.9732,0.9375,0.997,0.9864,0.9783,0.9016,0.9767,0.9258,0.9751,0.9513,0.9978,0.9825,0.9978,0.9825
48,0.0691,0.1681,0.9731,0.9387,0.997,0.9862,0.9781,0.9074,0.9765,0.9268,0.975,0.947,0.9978,0.9821,0.9978,0.982
49,0.0687,0.154,0.9737,0.941,0.997,0.9873,0.9785,0.9089,0.9771,0.9297,0.9757,0.9514,0.9978,0.9838,0.9978,0.9838
50,0.0677,0.154,0.974,0.9416,0.9971,0.9867,0.9788,0.9163,0.9773,0.9298,0.9758,0.9436,0.9979,0.9828,0.9978,0.9828
51,0.0669,0.1646,0.974,0.9392,0.9972,0.9866,0.9789,0.9054,0.9773,0.9276,0.9757,0.951,0.9979,0.9825,0.9979,0.9825
52,0.0665,0.1773,0.9743,0.9343,0.9972,0.9855,0.9792,0.8933,0.9776,0.9224,0.9761,0.9535,0.9979,0.9814,0.9979,0.9814
53,0.0663,0.1618,0.9744,0.9402,0.9972,0.9864,0.9791,0.9095,0.9777,0.9286,0.9763,0.9484,0.9979,0.9822,0.9979,0.9822
54,0.0665,0.1932,0.9744,0.9308,0.9972,0.9842,0.9792,0.8871,0.9777,0.9185,0.9762,0.9523,0.9979,0.9792,0.9979,0.9792
55,0.0657,0.1539,0.9749,0.9431,0.9972,0.9869,0.9796,0.9216,0.9781,0.9312,0.9766,0.9411,0.998,0.983,0.998,0.983
56,0.0661,0.1643,0.9747,0.939,0.9972,0.9864,0.9794,0.9051,0.978,0.9274,0.9765,0.9509,0.998,0.9825,0.9979,0.9825
57,0.0653,0.1684,0.975,0.9395,0.9973,0.9867,0.9797,0.9052,0.9782,0.928,0.9766,0.952,0.998,0.9827,0.998,0.9827
58,0.0654,0.1533,0.9748,0.9417,0.9973,0.9871,0.9794,0.9147,0.9781,0.9301,0.9767,0.946,0.998,0.9832,0.998,0.9832
59,0.0642,0.1509,0.9754,0.9432,0.9974,0.9875,0.9801,0.9169,0.9785,0.9318,0.977,0.9472,0.9981,0.9838,0.998,0.9838
60,0.0646,0.1612,0.9752,0.9398,0.9973,0.9874,0.98,0.9033,0.9783,0.9286,0.9767,0.9553,0.998,0.9839,0.998,0.9839
61,0.0646,0.1768,0.9753,0.9356,0.9973,0.9857,0.9799,0.8956,0.9784,0.9239,0.977,0.9541,0.998,0.9814,0.998,0.9813
